Lineup,Count,Expected Dupes (Simple Method),Slate Id,Simmed Duplicates
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,3,10.0,1181,1.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Will Dissly,1,18.0,1181,0.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX Will Dissly,22,13.0,1181,8.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Jason Myers FLEX DeeJay Dallas,3,18.0,1181,1.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX Will Dissly,16,11.0,1181,3.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Chris Boswell FLEX Jason Myers FLEX Pat Freiermuth,1,18.0,1181,1.0
CPT Chris Boswell FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers,31,3.0,1181,6.0
CPT Chris Boswell FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX DeeJay Dallas,1,7.0,1181,3.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Gerald Everett FLEX Chris Boswell FLEX Jason Myers,10,23.0,1181,1.0
CPT Chris Boswell FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers,9,3.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Chris Boswell FLEX Pat Freiermuth,1,16.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Jason Myers FLEX DeeJay Dallas,2,13.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Travis Homer,1,8.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,26,29.0,1181,27.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Travis Homer,1,7.0,1181,2.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,4,24.0,1181,2.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Pat Freiermuth FLEX Travis Homer,1,6.0,1181,1.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,12,82.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Jason Myers FLEX Eric Ebron,4,5.0,1181,4.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Eric Ebron FLEX DeeJay Dallas,1,10.0,1181,1.0
CPT Ben Roethlisberger FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,51,26.0,1181,61.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX DK Metcalf FLEX Chris Boswell FLEX Pat Freiermuth,23,16.0,1181,15.0
CPT Chris Boswell FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers,2,2.0,1181,3.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Ray-Ray McCloud III,12,13.0,1181,0.0
CPT DK Metcalf FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,12,37.0,1181,7.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Jason Myers FLEX Pat Freiermuth,46,27.0,1181,26.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,1,53.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Travis Homer FLEX DeeJay Dallas,3,28.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Tyler Lockett FLEX Alex Collins FLEX Chris Boswell FLEX Pat Freiermuth,26,27.0,1181,6.0
CPT Ben Roethlisberger FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,7,17.0,1181,8.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,5,21.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Jason Myers FLEX Will Dissly,2,7.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Chris Boswell FLEX Travis Homer,32,14.0,1181,19.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX Travis Homer,5,12.0,1181,6.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Travis Homer FLEX DeeJay Dallas,1,24.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Gerald Everett FLEX Pat Freiermuth,40,13.0,1181,15.0
CPT DK Metcalf FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,1,24.0,1181,0.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Chris Boswell FLEX Travis Homer,2,12.0,1181,3.0
CPT Chris Boswell FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron,4,2.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Pat Freiermuth FLEX Travis Homer,7,9.0,1181,0.0
CPT Diontae Johnson FLEX Najee Harris FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Jason Myers,7,12.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Jason Myers FLEX Eric Ebron,6,4.0,1181,5.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Eric Ebron FLEX DeeJay Dallas,7,21.0,1181,7.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Jason Myers FLEX Pat Freiermuth,38,25.0,1181,32.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth FLEX DeeJay Dallas,3,49.0,1181,1.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Ray-Ray McCloud III,7,11.0,1181,0.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX DK Metcalf FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,11,53.0,1181,13.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX DK Metcalf FLEX Chris Boswell FLEX Pat Freiermuth,13,11.0,1181,6.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Gerald Everett FLEX DeeJay Dallas,112,69.0,1181,98.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Jason Myers FLEX Pat Freiermuth,8,21.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Alex Collins FLEX Steelers  FLEX Pat Freiermuth FLEX DeeJay Dallas,1,16.0,1181,0.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX Travis Homer,8,10.0,1181,8.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Travis Homer FLEX DeeJay Dallas,3,21.0,1181,0.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Gerald Everett FLEX Pat Freiermuth,19,12.0,1181,8.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Chris Boswell FLEX Travis Homer,3,10.0,1181,2.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Jason Myers FLEX Will Dissly,79,11.0,1181,21.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Will Dissly FLEX DeeJay Dallas,3,23.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Jason Myers FLEX Will Dissly,3,10.0,1181,1.0
CPT Geno Smith FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,8,23.0,1181,19.0
CPT Jason Myers FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,11,2.0,1181,7.0
CPT Chris Boswell FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron,1,2.0,1181,0.0
CPT Najee Harris FLEX Geno Smith FLEX DK Metcalf FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,94,59.0,1181,49.0
CPT Jason Myers FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,3,2.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Pat Freiermuth FLEX Travis Homer,1,7.0,1181,0.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Steelers  FLEX DeeJay Dallas,24,26.0,1181,11.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Eric Ebron FLEX Pat Freiermuth,8,19.0,1181,3.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Travis Homer,1,12.0,1181,0.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX Travis Homer,12,10.0,1181,8.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Steelers  FLEX DeeJay Dallas,3,21.0,1181,4.0
CPT Geno Smith FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,1,15.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Geno Smith FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,35,46.0,1181,13.0
CPT Jason Myers FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth,1,2.0,1181,0.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Eric Ebron FLEX DeeJay Dallas,1,15.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Chris Boswell FLEX Will Dissly,13,32.0,1181,12.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Chris Boswell FLEX Jason Myers FLEX Pat Freiermuth,8,18.0,1181,3.0
CPT Najee Harris FLEX Geno Smith FLEX DK Metcalf FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,9,38.0,1181,3.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Gerald Everett FLEX DeeJay Dallas,67,60.0,1181,27.0
CPT DK Metcalf FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX Pat Freiermuth,6,8.0,1181,8.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Eric Ebron FLEX Will Dissly,1,4.0,1181,1.0
CPT Jason Myers FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth,1,1.0,1181,0.0
CPT DK Metcalf FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX Will Dissly,15,14.0,1181,15.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,3,21.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Jason Myers FLEX Eric Ebron,2,8.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Pat Freiermuth,5,26.0,1181,3.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Will Dissly FLEX Travis Homer,1,11.0,1181,0.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX Penny Hart,20,12.0,1181,28.0
CPT Alex Collins FLEX Najee Harris FLEX Diontae Johnson FLEX Chase Claypool FLEX Chris Boswell FLEX Pat Freiermuth,4,20.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Eric Ebron,1,8.0,1181,0.0
CPT Ben Roethlisberger FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,7,7.0,1181,6.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Jason Myers FLEX Will Dissly,6,8.0,1181,3.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Gerald Everett FLEX Chris Boswell,78,34.0,1181,20.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX Penny Hart,4,10.0,1181,8.0
CPT DK Metcalf FLEX Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,1,9.0,1181,1.0
CPT Jason Myers FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,4,2.0,1181,1.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Eric Ebron FLEX Pat Freiermuth,2,14.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Penny Hart,2,8.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Steelers  FLEX DeeJay Dallas,2,18.0,1181,4.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Gerald Everett FLEX Pat Freiermuth,5,22.0,1181,0.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX Travis Homer,2,7.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Steelers  FLEX DeeJay Dallas,60,35.0,1181,93.0
CPT Diontae Johnson FLEX Najee Harris FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Will Dissly,1,9.0,1181,0.0
CPT Pat Freiermuth FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers ,23,5.0,1181,12.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Eric Ebron FLEX Will Dissly,1,3.0,1181,0.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Eric Ebron FLEX Will Dissly,36,8.0,1181,6.0
CPT Najee Harris FLEX Diontae Johnson FLEX Chase Claypool FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,36,103.0,1181,14.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth FLEX Will Dissly,1,19.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX DK Metcalf FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,26,21.0,1181,6.0
CPT Pat Freiermuth FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers ,1,4.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Eric Ebron FLEX Will Dissly,2,7.0,1181,1.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth FLEX Will Dissly,1,16.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Chase Claypool FLEX Alex Collins FLEX Jason Myers FLEX Pat Freiermuth,104,33.0,1181,54.0
CPT Najee Harris FLEX Diontae Johnson FLEX Chase Claypool FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,2,67.0,1181,1.0
CPT Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Pat Freiermuth,2,19.0,1181,1.0
